,Country/Region,location,continent,population_year,population,lat,lng
0,Afghanistan,Afghanistan,Asia,2022.0,41128772.0,33.7680065,66.2385139
1,Albania,Albania,Europe,2022.0,2842318.0,41.000028,19.9999619
2,Algeria,Algeria,Africa,2022.0,44903228.0,28.0000272,2.9999825
3,Andorra,Andorra,Europe,2022.0,79843.0,42.5407167,1.5732033
4,Angola,Angola,Africa,2022.0,35588996.0,-11.8775768,17.5691241
5,Anguilla,Anguilla,North America,2022.0,15877.0,18.1954947,-63.0750234
6,Antigua and Barbuda,Antigua and Barbuda,North America,2022.0,93772.0,17.2234721,-61.9554608
7,Argentina,Argentina,South America,2022.0,45510324.0,-34.9964963,-64.9672817
8,Armenia,Armenia,Asia,2022.0,2780472.0,40.7696272,44.6736646
9,Aruba,Aruba,North America,2022.0,106459.0,12.51756625,-69.98186415210564
10,Australia,Australia,Oceania,2022.0,26177410.0,-24.7761086,134.755
11,Austria,Austria,Europe,2022.0,8939617.0,47.59397,14.12456
12,Azerbaijan,Azerbaijan,Asia,2022.0,10358078.0,40.3936294,47.7872508
13,Bahamas,Bahamas,North America,2022.0,409989.0,24.7736546,-78.0000547
14,Bahrain,Bahrain,Asia,2022.0,1472237.0,26.1551249,50.5344606
15,Bangladesh,Bangladesh,Asia,2022.0,171186368.0,24.4769288,90.2934413
16,Barbados,Barbados,North America,2022.0,281646.0,13.1500331,-59.5250305
17,Belarus,Belarus,Europe,2022.0,9534956.0,53.4250605,27.6971358
18,Belgium,Belgium,Europe,2022.0,11655923.0,50.6402809,4.6667145
19,Belize,Belize,North America,2022.0,405285.0,16.8259793,-88.7600927
20,Benin,Benin,Africa,2022.0,13352864.0,9.5293472,2.2584408
21,Bermuda,Bermuda,North America,2022.0,64207.0,32.30382,-64.7561647
22,Bhutan,Bhutan,Asia,2022.0,782457.0,27.549511,90.5119273
23,Bolivia,Bolivia,South America,2022.0,12224114.0,-17.0568696,-64.9912286
24,"Bonaire, Sint Eustatius and Saba",Bonaire Sint Eustatius and Saba,North America,2022.0,27052.0,12.11632955,-68.22087151226087
25,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,2022.0,3233530.0,44.3053476,17.5961467
26,Botswana,Botswana,Africa,2022.0,2630300.0,-23.1681782,24.5928742
27,Brazil,Brazil,South America,2022.0,215313504.0,-10.3333333,-53.2
28,British Virgin Islands,British Virgin Islands,North America,2022.0,31332.0,18.4024395,-64.5661642
29,Brunei,Brunei,Asia,2022.0,449002.0,4.4137155,114.5653908
30,Bulgaria,Bulgaria,Europe,2022.0,6781955.0,42.6073975,25.4856617
